Aa	Ao	Fn	Pg	Sg	So	Va
K00001	K00003	K00003	K00012	K00001	K00001	K00003
K00009	K00010	K00014	K00014	K00003	K00003	K00012
K00010	K00012	K00016	K00018	K00004	K00014	K00013
K00012	K00013	K00018	K00024	K00005	K00016	K00014
K00014	K00014	K00027	K00029	K00013	K00033	K00015
K00018	K00016	K00048	K00057	K00014	K00036	K00016
K00024	K00024	K00052	K00058	K00016	K00052	K00018
K00029	K00033	K00053	K00059	K00027	K00053	K00027
K00036	K00036	K00057	K00067	K00031	K00054	K00048
K00053	K00045	K00058	K00074	K00033	K00057	K00052
K00057	K00052	K00059	K00075	K00036	K00059	K00053
K00058	K00053	K00067	K00077	K00052	K00067	K00057
K00059	K00057	K00074	K00088	K00053	K00075	K00059
K00075	K00058	K00075	K00097	K00054	K00088	K00075
K00088	K00059	K00088	K00099	K00057	K00105	K00088
K00094	K00075	K00099	K00133	K00059	K00131	K00099
K00099	K00077	K00100	K00134	K00067	K00133	K00100
K00101	K00088	K00104	K00174	K00075	K00134	K00133
K00111	K00101	K00111	K00175	K00077	K00147	K00134
K00121	K00111	K00133	K00176	K00088	K00158	K00145
K00123	K00121	K00134	K00177	K00105	K00161	K00147
K00124	K00128	K00243	K00179	K00133	K00162	K00156
K00127	K00134	K00244	K00180	K00134	K00215	K00174
K00133	K00135	K00248	K00215	K00145	K00226	K00175
K00134	K00140	K00260	K00226	K00147	K00243	K00198
K00140	K00145	K00278	K00231	K00158	K00259	K00215
K00147	K00147	K00287	K00239	K00161	K00262	K00220
K00163	K00148	K00297	K00240	K00162	K00286	K00231
K00164	K00163	K00358	K00241	K00215	K00287	K00239
K00208	K00164	K00359	K00243	K00226	K00290	K00240
K00215	K00230	K00375	K00248	K00243	K00297	K00243
K00230	K00239	K00381	K00257	K00259	K00358	K00261
K00244	K00240	K00384	K00262	K00262	K00364	K00266
K00245	K00241	K00385	K00266	K00286	K00382	K00284
K00246	K00254	K00432	K00275	K00287	K00383	K00286
K00247	K00261	K00459	K00278	K00297	K00384	K00287
K00254	K00262	K00520	K00281	K00355	K00432	K00313
K00262	K00286	K00525	K00287	K00356	K00525	K00336
K00275	K00297	K00526	K00290	K00364	K00526	K00364
K00286	K00299	K00527	K00294	K00382	K00527	K00366
K00287	K00330	K00537	K00324	K00383	K00537	K00370
K00297	K00331	K00540	K00325	K00384	K00540	K00371
K00324	K00332	K00548	K00346	K00432	K00549	K00373
K00325	K00333	K00554	K00347	K00520	K00554	K00374
